Tipo,Data,Categoria,Valor,Descrição,Origem,Erro
"Documento Principal","","Luz","","","", ""
"Anexo","08/01/2026","Pagamentos","600,16","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=d5d202d32404f582581fbcd012c7281b942d75c2&ferramenta=DESPESA&id=61838&idParcela=66255",""
"Anexo","15/01/2026","Pagamentos","","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=e2de5677099654216fcef0e6d87b510cc0f2e2c8&ferramenta=DESPESA&id=62400&idParcela=66841",""
"Anexo","14/01/2026","Pagamentos","3.480,00","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=9fe537457a615842c36fac4618bc0fdb0c4b653b&ferramenta=DESPESA&id=62384&idParcela=66825",""
"Anexo","07/01/2026","Pagamentos","139,60","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/arquivos?accesskey=204b55d64b0f7ff53617e152d69fca404e12859f&ferramenta=DESPESA&id=62818&idParcela=67331",""
"Anexo","","Impostos/Taxas","","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177965&hash=40570ec1c088c09a7e812ec9d4aee5eef3ea8bbc&filename=cairesimoveis1",""
"Anexo","17/08/2022","Impostos/Taxas","1.722,86","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177966&hash=b3fd428a03988e38d0940dc91bd2ecc129930c23&filename=cairesimoveis1",""
"Anexo","07/01/2026","Pagamentos","2.045,26","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=180742&hash=321b10fdbadb4c40ae57cbc7c8781bdaeebaf6ab&filename=cairesimoveis1",""
"Anexo","17/08/2022","Impostos/Taxas","889,34","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=181976&hash=a01379a0dbb437e387a54c8baee2e31420312910&filename=cairesimoveis1",""
"Anexo","19/01/2026","Pagamentos","889,34","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=183858&hash=d880fb0cdbf679429f1a4902dd6ac909223cba77&filename=cairesimoveis1",""
"Anexo","20/01/2026","Impostos/Taxas","1.290,36","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=177970&hash=4b00ca5852d5c17d12ca2156f58b2719104c075e&filename=cairesimoveis1",""
"Anexo","14/01/2026","Impostos/Taxas","1.290,36","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=182504&hash=8fd6c4b45094023161fffc84ed2b0d0f366a7ada&filename=cairesimoveis1",""
"Anexo","20/01/2026","Impostos/Taxas","4.717,60","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=181768&hash=80a4dcfd6c8252ed8f11d7507956a785d68967d2&filename=cairesimoveis1",""
"Anexo","14/01/2026","Impostos/Taxas","4.717,60","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=182497&hash=fd20f5dada616470f1c62574d403bc9e7480e6e1&filename=cairesimoveis1",""
"Anexo","20/01/2026","Impostos/Taxas","502,76","do Empregador
PORTAL QUINTA DOS PINHEIROS
Núm. de Pág.
1
Identificador
0125121810486090-5
Tag
46028481 12/2025 MENSAL
 Pagar este documento até
20/01/2026
 Valor a recolher
502,76
 
GFD - Guia do FGTS Digital
às 21:59:59 (Brasília)
Composição do Documento
Competência
Quantidade
Trabalhadores FGTS Mensal FGTS Rescisório
Indenização
Compensatória Encargos FGTS Total
260,960,00260,96 0,00 0,0012/2025 1
Total FGTS: 260,960,00260,96 0,00 0,00
Informações de recolhimentos do FGTS
Competência Consignado Total
241,80241,8012/2025
241,80Total Consignado: 241,80
Total da Guia: 502,76
Informações de recolhimentos do Consignado
Observações
Toda a equipe do FGTS Digital deseja que você tenha um Feliz Natal e um Próspero Ano Novo!","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=178039&hash=3a096d18520e61a31791ade3ceaf6f91d5344c82&filename=cairesimoveis1",""
"Anexo","","Pagamentos","","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=182502&hash=22612499e23fa713fbd222346023b2b49615413e&filename=cairesimoveis1",""
"Anexo","20/01/2026","Impostos/Taxas","185,43","do Empregador
PORTAL QUINTA DOS PINHEIROS
Núm. de Pág.
1
Identificador
0125121008147305-0
Tag
46028481 13/2025 MENSAL
 Pagar este documento até
20/01/2026
 Valor a recolher
185,43
 
GFD - Guia do FGTS Digital
às 21:59:59 (Brasília)
Composição do Documento
Competência
Quantidade
Trabalhadores FGTS Mensal FGTS Rescisório
Indenização
Compensatória Encargos FGTS Total
185,430,00185,43 0,00 0,0013º/2025 1
Total FGTS: 185,430,00185,43 0,00 0,00
Informações de recolhimentos do FGTS
Total da Guia: 185,43
Não há informações de recolhimentos do Consignado
Informações de recolhimentos do Consignado
Observações","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=175246&hash=a1bf9208fdd949fd300f95df3a8467809fe11e8a&filename=cairesimoveis1",""
"Anexo","","Pagamentos","","","https://cairesimoveis1.superlogica.net/clients/areadocondomino/publico/downloadarquivo?id=182501&hash=7af632440d7a14f2761014c0c135e23606ac624b&filename=cairesimoveis1",""
